"","X.1","X","atnd_experience","ambiente","ambiente_aberta","Food_Quality","novo_diferente","denovo_manter","mudanca_notavel","flag_cliente_novo","Date_Time","mes","dia_semana","hora"
"134",134,134,"comente","conforto","O estilo moderno e acolhedor do interior.",2,"Seria ótimo ter uma área para crianças brincarem.","as sobremesas são maravilhosas, nunca mudem","",0,2023-12-27 07:00:00,12,"quarta-feira",7
"135",135,135,"gente boa","acessibilidade","",4,"","o milkshake, eu viria só por ele","",0,2023-11-20,11,"segunda-feira",0
"136",136,136,"gente boa","acessibilidade","O estilo moderno e acolhedor do interior.",3,"","banheiros cheirosos","O tempo de espera pela comida diminuiu significativamente.",0,2023-12-13 23:00:00,12,"quarta-feira",23
"137",137,137,"organização","instagramavel","A limpeza e organização do local foram impecáveis.",4,"","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-21 09:00:00,12,"quinta-feira",9
"138",138,138,"tem atencao","conforto","O sorriso e a simpatia dos funcionários.",5,"Adoraria ver mais opções de sobremesas sem glúten.","organização do ambiente","A música ambiente mudou e agora está mais agradável.",0,2023-12-17 15:00:00,12,"domingo",15
"139",139,139,"tem atencao","estacionamento","O estilo moderno e acolhedor do interior.",5,"Mais variedade de cervejas artesanais.","banheiros cheirosos","",0,2023-12-05 11:00:00,12,"terça-feira",11
"140",140,140,"habilidosos","conforto","",4,"","organização do ambiente","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-28 06:00:00,12,"quinta-feira",6
"141",141,141,"gente boa","temperatura","A limpeza e organização do local foram impecáveis.",4,"Espero que o tempo de espera para ser atendido seja menor.","lugar arrumado","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-12-10 14:00:00,12,"domingo",14
"142",142,142,"gente boa","acessibilidade","",4,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",1,2023-12-12 23:00:00,12,"terça-feira",23
"143",143,143,"tem atencao","estacionamento","",5,"Seria ótimo ter uma área para crianças brincarem.","as sobremesas são maravilhosas, nunca mudem","",0,2023-12-23 20:00:00,12,"sábado",20
"144",144,144,"habilidosos","acessibilidade","O estilo moderno e acolhedor do interior.",4,"","banheiros cheirosos","",0,2023-12-09 12:00:00,12,"sábado",12
"145",145,145,"tem atencao","estacionamento","",2,"Seria ótimo ter uma área para crianças brincarem.","organização do ambiente","",0,2023-11-09 21:00:00,11,"quinta-feira",21
"146",146,146,"organização","temperatura","",4,"Seria ótimo ter uma área para crianças brincarem.","facil acesso","",1,2023-11-14 23:00:00,11,"terça-feira",23
"147",147,147,"tem atencao","acessibilidade","",5,"Poderiam melhorar a acústica do local para reduzir o ruído.","lugar arrumado","A música ambiente mudou e agora está mais agradável.",0,2023-11-06 03:00:00,11,"segunda-feira",3
"148",148,148,"habilidosos","acessibilidade","A iluminação suave e as cores harmoniosas do espaço.",2,"Gostaria que o cardápio tivesse mais fotos dos pratos.","","",0,2023-11-28 08:00:00,11,"terça-feira",8
"149",149,149,"tem atencao","temperatura","O estilo moderno e acolhedor do interior.",3,"Espero que o tempo de espera para ser atendido seja menor.","facil acesso","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-12-26 20:00:00,12,"terça-feira",20
"150",150,150,"habilidosos","acessibilidade","",4,"","banheiros cheirosos","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-04 11:00:00,12,"segunda-feira",11
"151",151,151,"habilidosos","estacionamento","O sorriso e a simpatia dos funcionários.",1,"Seria melhor se o restaurante aceitasse reservas online.","banheiros cheirosos","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-12-26 12:00:00,12,"terça-feira",12
"152",152,152,"organização","instagramavel","",3,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","","",0,2023-12-06 14:00:00,12,"quarta-feira",14
"153",153,153,"gente boa","instagramavel","A limpeza e organização do local foram impecáveis.",2,"","","",0,2023-11-29 06:00:00,11,"quarta-feira",6
"154",154,154,"tem atencao","acessibilidade","O sorriso e a simpatia dos funcionários.",2,"","","",0,2023-11-20,11,"segunda-feira",0
"155",155,155,"gente boa","estacionamento","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"","","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-11-05 08:00:00,11,"domingo",8
"156",156,156,"tem atencao","acessibilidade","O sorriso e a simpatia dos funcionários.",4,"","","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-15 10:00:00,12,"sexta-feira",10
"157",157,157,"habilidosos","temperatura","O estilo moderno e acolhedor do interior.",1,"Uma noite temática por semana seria interessante.","organização do ambiente","A música ambiente mudou e agora está mais agradável.",0,2023-12-18 21:00:00,12,"segunda-feira",21
"158",158,158,"comente","temperatura","A música ambiente estava perfeita, não muito alta nem muito baixa.",3,"Seria ótimo ter uma área para crianças brincarem.","banheiros cheirosos","Está mais organizado, especialmente a área de espera por mesas.",0,2023-11-23 16:00:00,11,"quinta-feira",16
"159",159,159,"organização","conforto","A iluminação suave e as cores harmoniosas do espaço.",1,"Adoraria ver mais opções de sobremesas sem glúten.","organização do ambiente","Está mais organizado, especialmente a área de espera por mesas.",1,2023-12-14 06:00:00,12,"quinta-feira",6
"160",160,160,"organização","acessibilidade","A limpeza e organização do local foram impecáveis.",5,"Gostaria de ver opções de pratos veganos no menu.","","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-12-13 14:00:00,12,"quarta-feira",14
"161",161,161,"tem atencao","instagramavel","O estilo moderno e acolhedor do interior.",5,"Adoraria ver mais opções de sobremesas sem glúten.","as sobremesas são maravilhosas, nunca mudem","",0,2023-11-14 04:00:00,11,"terça-feira",4
"162",162,162,"comente","temperatura","",5,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","O tempo de espera pela comida diminuiu significativamente.",1,2023-12-25 05:00:00,12,"segunda-feira",5
"163",163,163,"organização","acessibilidade","",4,"Seria melhor se o restaurante aceitasse reservas online.","facil acesso","",1,2023-11-05 22:00:00,11,"domingo",22
"164",164,164,"tem atencao","instagramavel","",3,"","","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-30 22:00:00,11,"quinta-feira",22
"165",165,165,"organização","temperatura","A iluminação suave e as cores harmoniosas do espaço.",2,"","facil acesso","A música ambiente mudou e agora está mais agradável.",0,2023-12-30 07:00:00,12,"sábado",7
"166",166,166,"habilidosos","instagramavel","A iluminação suave e as cores harmoniosas do espaço.",4,"","banheiros cheirosos","A música ambiente mudou e agora está mais agradável.",1,2023-12-01 18:00:00,12,"sexta-feira",18
"167",167,167,"habilidosos","temperatura","A iluminação suave e as cores harmoniosas do espaço.",3,"Seria melhor se o restaurante aceitasse reservas online.","facil acesso","",0,2023-11-28 11:00:00,11,"terça-feira",11
"168",168,168,"comente","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Adoraria ver mais opções de sobremesas sem glúten.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-12-25 08:00:00,12,"segunda-feira",8
"169",169,169,"comente","temperatura","A limpeza e organização do local foram impecáveis.",5,"Seria ótimo ter uma área para crianças brincarem.","o milkshake, eu viria só por ele","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-07 03:00:00,12,"quinta-feira",3
"170",170,170,"habilidosos","instagramavel","",3,"Seria melhor se o restaurante aceitasse reservas online.","facil acesso","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-12-26 15:00:00,12,"terça-feira",15
"171",171,171,"organização","estacionamento","",4,"Seria ótimo ter uma área para crianças brincarem.","lugar arrumado","A música ambiente mudou e agora está mais agradável.",0,2023-12-06 19:00:00,12,"quarta-feira",19
"172",172,172,"gente boa","estacionamento","",1,"Adoraria ver mais opções de sobremesas sem glúten.","lugar arrumado","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",1,2023-11-14 04:00:00,11,"terça-feira",4
"173",173,173,"gente boa","acessibilidade","A limpeza e organização do local foram impecáveis.",5,"Seria ótimo ter uma área para crianças brincarem.","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-11-03 05:00:00,11,"sexta-feira",5
"174",174,174,"gente boa","temperatura","",1,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-11-13 08:00:00,11,"segunda-feira",8
"175",175,175,"habilidosos","temperatura","A limpeza e organização do local foram impecáveis.",3,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","organização do ambiente","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-11-22 19:00:00,11,"quarta-feira",19
"176",176,176,"gente boa","estacionamento","O estilo moderno e acolhedor do interior.",5,"","lugar arrumado","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-11-30 09:00:00,11,"quinta-feira",9
"177",177,177,"tem atencao","conforto","A iluminação suave e as cores harmoniosas do espaço.",1,"Seria ótimo ter uma área para crianças brincarem.","as sobremesas são maravilhosas, nunca mudem","",0,2023-12-26 05:00:00,12,"terça-feira",5
"178",178,178,"comente","temperatura","",2,"","organização do ambiente","",0,2023-11-16 13:00:00,11,"quinta-feira",13
"179",179,179,"gente boa","temperatura","O estilo moderno e acolhedor do interior.",4,"Seria melhor se o restaurante aceitasse reservas online.","facil acesso","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-28 08:00:00,11,"terça-feira",8
"180",180,180,"comente","instagramavel","",1,"Mais variedade de cervejas artesanais.","facil acesso","",0,2023-12-03 17:00:00,12,"domingo",17
"181",181,181,"organização","estacionamento","",2,"","","Está mais organizado, especialmente a área de espera por mesas.",0,2023-12-09 12:00:00,12,"sábado",12
"182",182,182,"habilidosos","instagramavel","",1,"Adoraria ver mais opções de sobremesas sem glúten.","","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-12-25 12:00:00,12,"segunda-feira",12
"183",183,183,"comente","instagramavel","A limpeza e organização do local foram impecáveis.",5,"Poderiam melhorar a acústica do local para reduzir o ruído.","o milkshake, eu viria só por ele","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-25 02:00:00,12,"segunda-feira",2
"184",184,184,"tem atencao","acessibilidade","O sorriso e a simpatia dos funcionários.",2,"Uma noite temática por semana seria interessante.","","",1,2023-11-09 06:00:00,11,"quinta-feira",6
"185",185,185,"tem atencao","temperatura","A limpeza e organização do local foram impecáveis.",4,"","facil acesso","Agora há mais opções de vinhos e coquetéis no cardápio.",1,2023-12-19 15:00:00,12,"terça-feira",15
"186",186,186,"tem atencao","conforto","O estilo moderno e acolhedor do interior.",2,"Poderiam melhorar a acústica do local para reduzir o ruído.","","As porções estão maiores, o que é ótimo para o preço que pagamos.",1,2023-12-03 12:00:00,12,"domingo",12
"187",187,187,"tem atencao","acessibilidade","A limpeza e organização do local foram impecáveis.",4,"","","A música ambiente mudou e agora está mais agradável.",0,2023-12-16 13:00:00,12,"sábado",13
"188",188,188,"organização","conforto","A limpeza e organização do local foram impecáveis.",4,"","","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",1,2023-11-16 23:00:00,11,"quinta-feira",23
"189",189,189,"tem atencao","acessibilidade","A música ambiente estava perfeita, não muito alta nem muito baixa.",5,"","","O tempo de espera pela comida diminuiu significativamente.",1,2023-12-06 17:00:00,12,"quarta-feira",17
"190",190,190,"habilidosos","conforto","A iluminação suave e as cores harmoniosas do espaço.",4,"","","",0,2023-11-16 02:00:00,11,"quinta-feira",2
"191",191,191,"gente boa","instagramavel","",4,"Seria melhor se o restaurante aceitasse reservas online.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-19 17:00:00,12,"terça-feira",17
"192",192,192,"comente","instagramavel","A limpeza e organização do local foram impecáveis.",3,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-26 07:00:00,11,"domingo",7
"193",193,193,"organização","instagramavel","A limpeza e organização do local foram impecáveis.",1,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","",1,2023-12-16 16:00:00,12,"sábado",16
"194",194,194,"habilidosos","estacionamento","O estilo moderno e acolhedor do interior.",2,"","","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-12-04 08:00:00,12,"segunda-feira",8
"195",195,195,"organização","acessibilidade","",3,"Seria melhor se o restaurante aceitasse reservas online.","organização do ambiente","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-11-29 01:00:00,11,"quarta-feira",1
"196",196,196,"habilidosos","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",5,"Poderiam melhorar a acústica do local para reduzir o ruído.","as sobremesas são maravilhosas, nunca mudem","",0,2023-12-01 04:00:00,12,"sexta-feira",4
"197",197,197,"habilidosos","acessibilidade","O sorriso e a simpatia dos funcionários.",4,"Poderiam melhorar a acústica do local para reduzir o ruído.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","O tempo de espera pela comida diminuiu significativamente.",1,2023-11-14 12:00:00,11,"terça-feira",12
"198",198,198,"gente boa","estacionamento","",3,"Seria melhor se o restaurante aceitasse reservas online.","","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-12-04 20:00:00,12,"segunda-feira",20
"199",199,199,"gente boa","temperatura","O estilo moderno e acolhedor do interior.",2,"","facil acesso","As porções estão maiores, o que é ótimo para o preço que pagamos.",1,2023-11-02 20:00:00,11,"quinta-feira",20
"200",200,200,"gente boa","estacionamento","",3,"Uma noite temática por semana seria interessante.","organização do ambiente","Está mais organizado, especialmente a área de espera por mesas.",0,2023-11-21 03:00:00,11,"terça-feira",3
"201",201,201,"organização","acessibilidade","A iluminação suave e as cores harmoniosas do espaço.",3,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","","",0,2023-11-16 23:00:00,11,"quinta-feira",23
"202",202,202,"organização","temperatura","",5,"","organização do ambiente","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",1,2023-11-08 17:00:00,11,"quarta-feira",17
"203",203,203,"organização","conforto","",4,"","as sobremesas são maravilhosas, nunca mudem","A música ambiente mudou e agora está mais agradável.",0,2023-12-12 03:00:00,12,"terça-feira",3
"204",204,204,"organização","temperatura","",2,"Poderiam melhorar a acústica do local para reduzir o ruído.","banheiros cheirosos","",0,2023-12-16 23:00:00,12,"sábado",23
"205",205,205,"organização","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"","o milkshake, eu viria só por ele","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-12 12:00:00,11,"domingo",12
"206",206,206,"tem atencao","instagramavel","A limpeza e organização do local foram impecáveis.",2,"","organização do ambiente","",1,2023-11-18 22:00:00,11,"sábado",22
"207",207,207,"habilidosos","conforto","O sorriso e a simpatia dos funcionários.",3,"","lugar arrumado","",0,2023-12-23 14:00:00,12,"sábado",14
"208",208,208,"organização","conforto","O estilo moderno e acolhedor do interior.",2,"Gostaria de ver opções de pratos veganos no menu.","o milkshake, eu viria só por ele","",0,2023-12-29 14:00:00,12,"sexta-feira",14
"209",209,209,"tem atencao","conforto","A iluminação suave e as cores harmoniosas do espaço.",3,"","","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-11-12 11:00:00,11,"domingo",11
"210",210,210,"habilidosos","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",3,"","organização do ambiente","",0,2023-12-09 04:00:00,12,"sábado",4
"211",211,211,"gente boa","conforto","",5,"","lugar arrumado","",1,2023-12-07 18:00:00,12,"quinta-feira",18
"212",212,212,"organização","estacionamento","",5,"","o milkshake, eu viria só por ele","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-11-06 09:00:00,11,"segunda-feira",9
"213",213,213,"comente","acessibilidade","",5,"Uma noite temática por semana seria interessante.","organização do ambiente","",0,2023-11-07 16:00:00,11,"terça-feira",16
"214",214,214,"tem atencao","estacionamento","A iluminação suave e as cores harmoniosas do espaço.",4,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-29 15:00:00,11,"quarta-feira",15
"215",215,215,"tem atencao","temperatura","",3,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","O tempo de espera pela comida diminuiu significativamente.",0,2023-11-17 17:00:00,11,"sexta-feira",17
"216",216,216,"tem atencao","instagramavel","",4,"","","As porções estão maiores, o que é ótimo para o preço que pagamos.",1,2023-12-12 06:00:00,12,"terça-feira",6
"217",217,217,"comente","conforto","A iluminação suave e as cores harmoniosas do espaço.",4,"Adoraria ver mais opções de sobremesas sem glúten.","organização do ambiente","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-11-29 11:00:00,11,"quarta-feira",11
"218",218,218,"organização","acessibilidade","O estilo moderno e acolhedor do interior.",4,"","as sobremesas são maravilhosas, nunca mudem","Está mais organizado, especialmente a área de espera por mesas.",0,2023-11-23 09:00:00,11,"quinta-feira",9
"219",219,219,"tem atencao","instagramavel","",4,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","","",0,2023-11-30 15:00:00,11,"quinta-feira",15
"220",220,220,"tem atencao","conforto","",4,"","banheiros cheirosos","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-12 01:00:00,12,"terça-feira",1
"221",221,221,"tem atencao","conforto","O estilo moderno e acolhedor do interior.",5,"Adoraria ver mais opções de sobremesas sem glúten.","lugar arrumado","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-26 06:00:00,12,"terça-feira",6
"222",222,222,"habilidosos","instagramavel","",5,"","organização do ambiente","O tempo de espera pela comida diminuiu significativamente.",0,2023-11-11 11:00:00,11,"sábado",11
"223",223,223,"comente","estacionamento","O sorriso e a simpatia dos funcionários.",4,"","banheiros cheirosos","A música ambiente mudou e agora está mais agradável.",0,2023-11-13 05:00:00,11,"segunda-feira",5
"224",224,224,"tem atencao","instagramavel","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Espero que o tempo de espera para ser atendido seja menor.","organização do ambiente","A música ambiente mudou e agora está mais agradável.",0,2023-11-22 19:00:00,11,"quarta-feira",19
"225",225,225,"tem atencao","temperatura","",1,"Seria melhor se o restaurante aceitasse reservas online.","","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-12-03 21:00:00,12,"domingo",21
"226",226,226,"tem atencao","conforto","O sorriso e a simpatia dos funcionários.",2,"","organização do ambiente","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-12-02 16:00:00,12,"sábado",16
"227",227,227,"habilidosos","temperatura","O estilo moderno e acolhedor do interior.",3,"","","Agora há mais opções de vinhos e coquetéis no cardápio.",1,2023-11-12 11:00:00,11,"domingo",11
"228",228,228,"habilidosos","estacionamento","O estilo moderno e acolhedor do interior.",4,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","lugar arrumado","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-11-30 13:00:00,11,"quinta-feira",13
"229",229,229,"habilidosos","conforto","A limpeza e organização do local foram impecáveis.",2,"","","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-13 03:00:00,11,"segunda-feira",3
"230",230,230,"gente boa","conforto","",4,"","facil acesso","",0,2023-12-23 19:00:00,12,"sábado",19
"231",231,231,"habilidosos","acessibilidade","A limpeza e organização do local foram impecáveis.",3,"Gostaria que o cardápio tivesse mais fotos dos pratos.","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",1,2023-11-23 10:00:00,11,"quinta-feira",10
"232",232,232,"gente boa","instagramavel","",2,"Uma noite temática por semana seria interessante.","lugar arrumado","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-22 03:00:00,11,"quarta-feira",3
"233",233,233,"gente boa","acessibilidade","A limpeza e organização do local foram impecáveis.",3,"Espero que o tempo de espera para ser atendido seja menor.","as sobremesas são maravilhosas, nunca mudem","A música ambiente mudou e agora está mais agradável.",0,2023-12-06 03:00:00,12,"quarta-feira",3
"234",234,234,"tem atencao","acessibilidade","O estilo moderno e acolhedor do interior.",4,"","","",0,2023-11-08 20:00:00,11,"quarta-feira",20
"235",235,235,"tem atencao","conforto","A limpeza e organização do local foram impecáveis.",4,"","","A música ambiente mudou e agora está mais agradável.",1,2023-11-26,11,"domingo",0
"236",236,236,"gente boa","instagramavel","A iluminação suave e as cores harmoniosas do espaço.",1,"","organização do ambiente","A música ambiente mudou e agora está mais agradável.",0,2023-11-17 13:00:00,11,"sexta-feira",13
"237",237,237,"organização","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",5,"","","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-11-04 06:00:00,11,"sábado",6
"238",238,238,"comente","estacionamento","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Espero que o tempo de espera para ser atendido seja menor.","o milkshake, eu viria só por ele","",0,2023-11-12 06:00:00,11,"domingo",6
"239",239,239,"tem atencao","temperatura","O sorriso e a simpatia dos funcionários.",3,"Poderiam melhorar a acústica do local para reduzir o ruído.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","",0,2023-11-04 17:00:00,11,"sábado",17
"240",240,240,"habilidosos","estacionamento","",1,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","lugar arrumado","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",1,2023-11-21 08:00:00,11,"terça-feira",8
"241",241,241,"comente","instagramavel","",2,"Seria melhor se o restaurante aceitasse reservas online.","","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-11-28 21:00:00,11,"terça-feira",21
"242",242,242,"comente","conforto","O estilo moderno e acolhedor do interior.",1,"","banheiros cheirosos","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",1,2023-12-19 17:00:00,12,"terça-feira",17
"243",243,243,"habilidosos","estacionamento","A música ambiente estava perfeita, não muito alta nem muito baixa.",2,"","banheiros cheirosos","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-19 03:00:00,12,"terça-feira",3
"244",244,244,"tem atencao","instagramavel","O sorriso e a simpatia dos funcionários.",2,"","o milkshake, eu viria só por ele","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-12-24 06:00:00,12,"domingo",6
"245",245,245,"habilidosos","temperatura","O estilo moderno e acolhedor do interior.",4,"Adoraria ver mais opções de sobremesas sem glúten.","banheiros cheirosos","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-13 19:00:00,12,"quarta-feira",19
"246",246,246,"comente","instagramavel","A música ambiente estava perfeita, não muito alta nem muito baixa.",2,"Mais variedade de cervejas artesanais.","","",0,2023-11-21 19:00:00,11,"terça-feira",19
"247",247,247,"gente boa","temperatura","O estilo moderno e acolhedor do interior.",4,"Seria melhor se o restaurante aceitasse reservas online.","banheiros cheirosos","",0,2023-12-16 09:00:00,12,"sábado",9
"248",248,248,"comente","instagramavel","O estilo moderno e acolhedor do interior.",4,"","organização do ambiente","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",1,2023-11-30 07:00:00,11,"quinta-feira",7
"249",249,249,"tem atencao","estacionamento","",4,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","A música ambiente mudou e agora está mais agradável.",0,2023-11-04 18:00:00,11,"sábado",18
"250",250,250,"tem atencao","conforto","A limpeza e organização do local foram impecáveis.",5,"","as sobremesas são maravilhosas, nunca mudem","",0,2023-11-11 07:00:00,11,"sábado",7
"251",251,251,"gente boa","acessibilidade","O estilo moderno e acolhedor do interior.",4,"Seria melhor se o restaurante aceitasse reservas online.","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-11-07 02:00:00,11,"terça-feira",2
"252",252,252,"gente boa","instagramavel","A iluminação suave e as cores harmoniosas do espaço.",3,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","lugar arrumado","As porções estão maiores, o que é ótimo para o preço que pagamos.",1,2023-11-09 23:00:00,11,"quinta-feira",23
"253",253,253,"gente boa","estacionamento","A limpeza e organização do local foram impecáveis.",4,"Gostaria de ver opções de pratos veganos no menu.","organização do ambiente","",0,2023-11-30 08:00:00,11,"quinta-feira",8
"254",254,254,"comente","estacionamento","A limpeza e organização do local foram impecáveis.",3,"","","",0,2023-11-22 21:00:00,11,"quarta-feira",21
"255",255,255,"comente","acessibilidade","A música ambiente estava perfeita, não muito alta nem muito baixa.",2,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-11-08 11:00:00,11,"quarta-feira",11
"256",256,256,"habilidosos","conforto","A limpeza e organização do local foram impecáveis.",3,"Gostaria que o cardápio tivesse mais fotos dos pratos.","banheiros cheirosos","",0,2023-11-19 13:00:00,11,"domingo",13
"257",257,257,"comente","temperatura","A música ambiente estava perfeita, não muito alta nem muito baixa.",1,"Mais variedade de cervejas artesanais.","","A música ambiente mudou e agora está mais agradável.",1,2023-12-17 07:00:00,12,"domingo",7
"258",258,258,"organização","conforto","",2,"Poderiam melhorar a acústica do local para reduzir o ruído.","","",0,2023-12-15 04:00:00,12,"sexta-feira",4
"259",259,259,"organização","temperatura","A limpeza e organização do local foram impecáveis.",5,"Gostaria que o cardápio tivesse mais fotos dos pratos.","lugar arrumado","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",1,2023-12-24 11:00:00,12,"domingo",11
"260",260,260,"gente boa","instagramavel","A música ambiente estava perfeita, não muito alta nem muito baixa.",3,"Adoraria ver mais opções de sobremesas sem glúten.","","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-17 10:00:00,12,"domingo",10
"261",261,261,"gente boa","estacionamento","",4,"","as sobremesas são maravilhosas, nunca mudem","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-11-16,11,"quinta-feira",0
"262",262,262,"gente boa","estacionamento","O estilo moderno e acolhedor do interior.",3,"","lugar arrumado","O tempo de espera pela comida diminuiu significativamente.",1,2023-12-01 04:00:00,12,"sexta-feira",4
"263",263,263,"organização","temperatura","A limpeza e organização do local foram impecáveis.",2,"Gostaria que o cardápio tivesse mais fotos dos pratos.","lugar arrumado","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-11-22 14:00:00,11,"quarta-feira",14
"264",264,264,"organização","estacionamento","A limpeza e organização do local foram impecáveis.",3,"","lugar arrumado","",0,2023-12-19 02:00:00,12,"terça-feira",2
"265",265,265,"tem atencao","instagramavel","O estilo moderno e acolhedor do interior.",4,"","as sobremesas são maravilhosas, nunca mudem","Notei que o menu foi atualizado com mais opções saudáveis.",1,2023-12-07 04:00:00,12,"quinta-feira",4
"266",266,266,"gente boa","acessibilidade","O estilo moderno e acolhedor do interior.",5,"Mais variedade de cervejas artesanais.","organização do ambiente","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-24 10:00:00,11,"sexta-feira",10
"267",267,267,"organização","acessibilidade","O sorriso e a simpatia dos funcionários.",3,"","banheiros cheirosos","",0,2023-12-28 10:00:00,12,"quinta-feira",10
"268",268,268,"gente boa","estacionamento","",3,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","organização do ambiente","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-05 17:00:00,11,"domingo",17
"269",269,269,"gente boa","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",5,"","banheiros cheirosos","",0,2023-12-05 02:00:00,12,"terça-feira",2
