"","atnd_experience","ambiente","ambiente_aberta","Food_Quality","novo_diferente","denovo_manter","mudanca_notavel","flag_cliente_novo","Date_Time"
"160","organização","acessibilidade","A limpeza e organização do local foram impecáveis.",5,"Gostaria de ver opções de pratos veganos no menu.","","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-12-13 14:00:00
"161","tem atencao","instagramavel","O estilo moderno e acolhedor do interior.",5,"Adoraria ver mais opções de sobremesas sem glúten.","as sobremesas são maravilhosas, nunca mudem","",0,2023-11-14 04:00:00
"162","comente","temperatura","",5,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","O tempo de espera pela comida diminuiu significativamente.",1,2023-12-25 05:00:00
"163","organização","acessibilidade","",4,"Seria melhor se o restaurante aceitasse reservas online.","facil acesso","",1,2023-11-05 22:00:00
"164","tem atencao","instagramavel","",3,"","","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-30 22:00:00
"165","organização","temperatura","A iluminação suave e as cores harmoniosas do espaço.",2,"","facil acesso","A música ambiente mudou e agora está mais agradável.",0,2023-12-30 07:00:00
"166","habilidosos","instagramavel","A iluminação suave e as cores harmoniosas do espaço.",4,"","banheiros cheirosos","A música ambiente mudou e agora está mais agradável.",1,2023-12-01 18:00:00
"167","habilidosos","temperatura","A iluminação suave e as cores harmoniosas do espaço.",3,"Seria melhor se o restaurante aceitasse reservas online.","facil acesso","",0,2023-11-28 11:00:00
"168","comente","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Adoraria ver mais opções de sobremesas sem glúten.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-12-25 08:00:00
"169","comente","temperatura","A limpeza e organização do local foram impecáveis.",5,"Seria ótimo ter uma área para crianças brincarem.","o milkshake, eu viria só por ele","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-07 03:00:00
"170","habilidosos","instagramavel","",3,"Seria melhor se o restaurante aceitasse reservas online.","facil acesso","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-12-26 15:00:00
"171","organização","estacionamento","",4,"Seria ótimo ter uma área para crianças brincarem.","lugar arrumado","A música ambiente mudou e agora está mais agradável.",0,2023-12-06 19:00:00
"172","gente boa","estacionamento","",1,"Adoraria ver mais opções de sobremesas sem glúten.","lugar arrumado","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",1,2023-11-14 04:00:00
"173","gente boa","acessibilidade","A limpeza e organização do local foram impecáveis.",5,"Seria ótimo ter uma área para crianças brincarem.","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-11-03 05:00:00
"174","gente boa","temperatura","",1,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-11-13 08:00:00
"175","habilidosos","temperatura","A limpeza e organização do local foram impecáveis.",3,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","organização do ambiente","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-11-22 19:00:00
"176","gente boa","estacionamento","O estilo moderno e acolhedor do interior.",5,"","lugar arrumado","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-11-30 09:00:00
"177","tem atencao","conforto","A iluminação suave e as cores harmoniosas do espaço.",1,"Seria ótimo ter uma área para crianças brincarem.","as sobremesas são maravilhosas, nunca mudem","",0,2023-12-26 05:00:00
"178","comente","temperatura","",2,"","organização do ambiente","",0,2023-11-16 13:00:00
"179","gente boa","temperatura","O estilo moderno e acolhedor do interior.",4,"Seria melhor se o restaurante aceitasse reservas online.","facil acesso","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-28 08:00:00
"180","comente","instagramavel","",1,"Mais variedade de cervejas artesanais.","facil acesso","",0,2023-12-03 17:00:00
"181","organização","estacionamento","",2,"","","Está mais organizado, especialmente a área de espera por mesas.",0,2023-12-09 12:00:00
"182","habilidosos","instagramavel","",1,"Adoraria ver mais opções de sobremesas sem glúten.","","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-12-25 12:00:00
"183","comente","instagramavel","A limpeza e organização do local foram impecáveis.",5,"Poderiam melhorar a acústica do local para reduzir o ruído.","o milkshake, eu viria só por ele","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-25 02:00:00
"184","tem atencao","acessibilidade","O sorriso e a simpatia dos funcionários.",2,"Uma noite temática por semana seria interessante.","","",1,2023-11-09 06:00:00
"185","tem atencao","temperatura","A limpeza e organização do local foram impecáveis.",4,"","facil acesso","Agora há mais opções de vinhos e coquetéis no cardápio.",1,2023-12-19 15:00:00
"186","tem atencao","conforto","O estilo moderno e acolhedor do interior.",2,"Poderiam melhorar a acústica do local para reduzir o ruído.","","As porções estão maiores, o que é ótimo para o preço que pagamos.",1,2023-12-03 12:00:00
"187","tem atencao","acessibilidade","A limpeza e organização do local foram impecáveis.",4,"","","A música ambiente mudou e agora está mais agradável.",0,2023-12-16 13:00:00
"188","organização","conforto","A limpeza e organização do local foram impecáveis.",4,"","","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",1,2023-11-16 23:00:00
"189","tem atencao","acessibilidade","A música ambiente estava perfeita, não muito alta nem muito baixa.",5,"","","O tempo de espera pela comida diminuiu significativamente.",1,2023-12-06 17:00:00
"190","habilidosos","conforto","A iluminação suave e as cores harmoniosas do espaço.",4,"","","",0,2023-11-16 02:00:00
"191","gente boa","instagramavel","",4,"Seria melhor se o restaurante aceitasse reservas online.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-19 17:00:00
"192","comente","instagramavel","A limpeza e organização do local foram impecáveis.",3,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-26 07:00:00
"193","organização","instagramavel","A limpeza e organização do local foram impecáveis.",1,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","",1,2023-12-16 16:00:00
"194","habilidosos","estacionamento","O estilo moderno e acolhedor do interior.",2,"","","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-12-04 08:00:00
"195","organização","acessibilidade","",3,"Seria melhor se o restaurante aceitasse reservas online.","organização do ambiente","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-11-29 01:00:00
"196","habilidosos","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",5,"Poderiam melhorar a acústica do local para reduzir o ruído.","as sobremesas são maravilhosas, nunca mudem","",0,2023-12-01 04:00:00
"197","habilidosos","acessibilidade","O sorriso e a simpatia dos funcionários.",4,"Poderiam melhorar a acústica do local para reduzir o ruído.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","O tempo de espera pela comida diminuiu significativamente.",1,2023-11-14 12:00:00
"198","gente boa","estacionamento","",3,"Seria melhor se o restaurante aceitasse reservas online.","","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-12-04 20:00:00
"199","gente boa","temperatura","O estilo moderno e acolhedor do interior.",2,"","facil acesso","As porções estão maiores, o que é ótimo para o preço que pagamos.",1,2023-11-02 20:00:00
"200","gente boa","estacionamento","",3,"Uma noite temática por semana seria interessante.","organização do ambiente","Está mais organizado, especialmente a área de espera por mesas.",0,2023-11-21 03:00:00
"201","organização","acessibilidade","A iluminação suave e as cores harmoniosas do espaço.",3,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","","",0,2023-11-16 23:00:00
"202","organização","temperatura","",5,"","organização do ambiente","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",1,2023-11-08 17:00:00
"203","organização","conforto","",4,"","as sobremesas são maravilhosas, nunca mudem","A música ambiente mudou e agora está mais agradável.",0,2023-12-12 03:00:00
"204","organização","temperatura","",2,"Poderiam melhorar a acústica do local para reduzir o ruído.","banheiros cheirosos","",0,2023-12-16 23:00:00
"205","organização","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"","o milkshake, eu viria só por ele","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-12 12:00:00
"206","tem atencao","instagramavel","A limpeza e organização do local foram impecáveis.",2,"","organização do ambiente","",1,2023-11-18 22:00:00
"207","habilidosos","conforto","O sorriso e a simpatia dos funcionários.",3,"","lugar arrumado","",0,2023-12-23 14:00:00
"208","organização","conforto","O estilo moderno e acolhedor do interior.",2,"Gostaria de ver opções de pratos veganos no menu.","o milkshake, eu viria só por ele","",0,2023-12-29 14:00:00
"209","tem atencao","conforto","A iluminação suave e as cores harmoniosas do espaço.",3,"","","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-11-12 11:00:00
"210","habilidosos","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",3,"","organização do ambiente","",0,2023-12-09 04:00:00
"211","gente boa","conforto","",5,"","lugar arrumado","",1,2023-12-07 18:00:00
"212","organização","estacionamento","",5,"","o milkshake, eu viria só por ele","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-11-06 09:00:00
"213","comente","acessibilidade","",5,"Uma noite temática por semana seria interessante.","organização do ambiente","",0,2023-11-07 16:00:00
"214","tem atencao","estacionamento","A iluminação suave e as cores harmoniosas do espaço.",4,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-29 15:00:00
"215","tem atencao","temperatura","",3,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","O tempo de espera pela comida diminuiu significativamente.",0,2023-11-17 17:00:00
"216","tem atencao","instagramavel","",4,"","","As porções estão maiores, o que é ótimo para o preço que pagamos.",1,2023-12-12 06:00:00
"217","comente","conforto","A iluminação suave e as cores harmoniosas do espaço.",4,"Adoraria ver mais opções de sobremesas sem glúten.","organização do ambiente","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-11-29 11:00:00
"218","organização","acessibilidade","O estilo moderno e acolhedor do interior.",4,"","as sobremesas são maravilhosas, nunca mudem","Está mais organizado, especialmente a área de espera por mesas.",0,2023-11-23 09:00:00
"219","tem atencao","instagramavel","",4,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","","",0,2023-11-30 15:00:00
"220","tem atencao","conforto","",4,"","banheiros cheirosos","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-12 01:00:00
"221","tem atencao","conforto","O estilo moderno e acolhedor do interior.",5,"Adoraria ver mais opções de sobremesas sem glúten.","lugar arrumado","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-26 06:00:00
"222","habilidosos","instagramavel","",5,"","organização do ambiente","O tempo de espera pela comida diminuiu significativamente.",0,2023-11-11 11:00:00
"223","comente","estacionamento","O sorriso e a simpatia dos funcionários.",4,"","banheiros cheirosos","A música ambiente mudou e agora está mais agradável.",0,2023-11-13 05:00:00
"224","tem atencao","instagramavel","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Espero que o tempo de espera para ser atendido seja menor.","organização do ambiente","A música ambiente mudou e agora está mais agradável.",0,2023-11-22 19:00:00
"225","tem atencao","temperatura","",1,"Seria melhor se o restaurante aceitasse reservas online.","","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-12-03 21:00:00
"226","tem atencao","conforto","O sorriso e a simpatia dos funcionários.",2,"","organização do ambiente","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-12-02 16:00:00
"227","habilidosos","temperatura","O estilo moderno e acolhedor do interior.",3,"","","Agora há mais opções de vinhos e coquetéis no cardápio.",1,2023-11-12 11:00:00
"228","habilidosos","estacionamento","O estilo moderno e acolhedor do interior.",4,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","lugar arrumado","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-11-30 13:00:00
"229","habilidosos","conforto","A limpeza e organização do local foram impecáveis.",2,"","","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-13 03:00:00
"230","gente boa","conforto","",4,"","facil acesso","",0,2023-12-23 19:00:00
"231","habilidosos","acessibilidade","A limpeza e organização do local foram impecáveis.",3,"Gostaria que o cardápio tivesse mais fotos dos pratos.","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",1,2023-11-23 10:00:00
"232","gente boa","instagramavel","",2,"Uma noite temática por semana seria interessante.","lugar arrumado","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-22 03:00:00
"233","gente boa","acessibilidade","A limpeza e organização do local foram impecáveis.",3,"Espero que o tempo de espera para ser atendido seja menor.","as sobremesas são maravilhosas, nunca mudem","A música ambiente mudou e agora está mais agradável.",0,2023-12-06 03:00:00
"234","tem atencao","acessibilidade","O estilo moderno e acolhedor do interior.",4,"","","",0,2023-11-08 20:00:00
"235","tem atencao","conforto","A limpeza e organização do local foram impecáveis.",4,"","","A música ambiente mudou e agora está mais agradável.",1,2023-11-26
"236","gente boa","instagramavel","A iluminação suave e as cores harmoniosas do espaço.",1,"","organização do ambiente","A música ambiente mudou e agora está mais agradável.",0,2023-11-17 13:00:00
"237","organização","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",5,"","","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-11-04 06:00:00
"238","comente","estacionamento","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Espero que o tempo de espera para ser atendido seja menor.","o milkshake, eu viria só por ele","",0,2023-11-12 06:00:00
"239","tem atencao","temperatura","O sorriso e a simpatia dos funcionários.",3,"Poderiam melhorar a acústica do local para reduzir o ruído.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","",0,2023-11-04 17:00:00
"240","habilidosos","estacionamento","",1,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","lugar arrumado","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",1,2023-11-21 08:00:00
"241","comente","instagramavel","",2,"Seria melhor se o restaurante aceitasse reservas online.","","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-11-28 21:00:00
"242","comente","conforto","O estilo moderno e acolhedor do interior.",1,"","banheiros cheirosos","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",1,2023-12-19 17:00:00
"243","habilidosos","estacionamento","A música ambiente estava perfeita, não muito alta nem muito baixa.",2,"","banheiros cheirosos","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-19 03:00:00
"244","tem atencao","instagramavel","O sorriso e a simpatia dos funcionários.",2,"","o milkshake, eu viria só por ele","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-12-24 06:00:00
"245","habilidosos","temperatura","O estilo moderno e acolhedor do interior.",4,"Adoraria ver mais opções de sobremesas sem glúten.","banheiros cheirosos","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-13 19:00:00
"246","comente","instagramavel","A música ambiente estava perfeita, não muito alta nem muito baixa.",2,"Mais variedade de cervejas artesanais.","","",0,2023-11-21 19:00:00
"247","gente boa","temperatura","O estilo moderno e acolhedor do interior.",4,"Seria melhor se o restaurante aceitasse reservas online.","banheiros cheirosos","",0,2023-12-16 09:00:00
"248","comente","instagramavel","O estilo moderno e acolhedor do interior.",4,"","organização do ambiente","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",1,2023-11-30 07:00:00
"249","tem atencao","estacionamento","",4,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","A música ambiente mudou e agora está mais agradável.",0,2023-11-04 18:00:00
"250","tem atencao","conforto","A limpeza e organização do local foram impecáveis.",5,"","as sobremesas são maravilhosas, nunca mudem","",0,2023-11-11 07:00:00
"251","gente boa","acessibilidade","O estilo moderno e acolhedor do interior.",4,"Seria melhor se o restaurante aceitasse reservas online.","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-11-07 02:00:00
"252","gente boa","instagramavel","A iluminação suave e as cores harmoniosas do espaço.",3,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","lugar arrumado","As porções estão maiores, o que é ótimo para o preço que pagamos.",1,2023-11-09 23:00:00
"253","gente boa","estacionamento","A limpeza e organização do local foram impecáveis.",4,"Gostaria de ver opções de pratos veganos no menu.","organização do ambiente","",0,2023-11-30 08:00:00
"254","comente","estacionamento","A limpeza e organização do local foram impecáveis.",3,"","","",0,2023-11-22 21:00:00
"255","comente","acessibilidade","A música ambiente estava perfeita, não muito alta nem muito baixa.",2,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-11-08 11:00:00
"256","habilidosos","conforto","A limpeza e organização do local foram impecáveis.",3,"Gostaria que o cardápio tivesse mais fotos dos pratos.","banheiros cheirosos","",0,2023-11-19 13:00:00
"257","comente","temperatura","A música ambiente estava perfeita, não muito alta nem muito baixa.",1,"Mais variedade de cervejas artesanais.","","A música ambiente mudou e agora está mais agradável.",1,2023-12-17 07:00:00
"258","organização","conforto","",2,"Poderiam melhorar a acústica do local para reduzir o ruído.","","",0,2023-12-15 04:00:00
"259","organização","temperatura","A limpeza e organização do local foram impecáveis.",5,"Gostaria que o cardápio tivesse mais fotos dos pratos.","lugar arrumado","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",1,2023-12-24 11:00:00
"260","gente boa","instagramavel","A música ambiente estava perfeita, não muito alta nem muito baixa.",3,"Adoraria ver mais opções de sobremesas sem glúten.","","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-17 10:00:00
"261","gente boa","estacionamento","",4,"","as sobremesas são maravilhosas, nunca mudem","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-11-16
"262","gente boa","estacionamento","O estilo moderno e acolhedor do interior.",3,"","lugar arrumado","O tempo de espera pela comida diminuiu significativamente.",1,2023-12-01 04:00:00
"263","organização","temperatura","A limpeza e organização do local foram impecáveis.",2,"Gostaria que o cardápio tivesse mais fotos dos pratos.","lugar arrumado","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-11-22 14:00:00
"264","organização","estacionamento","A limpeza e organização do local foram impecáveis.",3,"","lugar arrumado","",0,2023-12-19 02:00:00
"265","tem atencao","instagramavel","O estilo moderno e acolhedor do interior.",4,"","as sobremesas são maravilhosas, nunca mudem","Notei que o menu foi atualizado com mais opções saudáveis.",1,2023-12-07 04:00:00
"266","gente boa","acessibilidade","O estilo moderno e acolhedor do interior.",5,"Mais variedade de cervejas artesanais.","organização do ambiente","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-24 10:00:00
"267","organização","acessibilidade","O sorriso e a simpatia dos funcionários.",3,"","banheiros cheirosos","",0,2023-12-28 10:00:00
"268","gente boa","estacionamento","",3,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","organização do ambiente","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-05 17:00:00
"269","gente boa","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",5,"","banheiros cheirosos","",0,2023-12-05 02:00:00
"270","comente","estacionamento","A iluminação suave e as cores harmoniosas do espaço.",3,"","as sobremesas são maravilhosas, nunca mudem","Agora há mais opções de vinhos e coquetéis no cardápio.",1,2023-12-29 17:00:00
"271","gente boa","acessibilidade","A limpeza e organização do local foram impecáveis.",5,"Mais variedade de cervejas artesanais.","facil acesso","A música ambiente mudou e agora está mais agradável.",0,2023-12-09 10:00:00
"272","comente","conforto","",2,"Mais variedade de cervejas artesanais.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","O tempo de espera pela comida diminuiu significativamente.",0,2023-11-27 03:00:00
"273","habilidosos","estacionamento","O estilo moderno e acolhedor do interior.",4,"Seria melhor se o restaurante aceitasse reservas online.","as sobremesas são maravilhosas, nunca mudem","",1,2023-12-08 04:00:00
"274","habilidosos","acessibilidade","",3,"Gostaria de ver opções de pratos veganos no menu.","","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",1,2023-12-29 07:00:00
"275","tem atencao","temperatura","",4,"","banheiros cheirosos","",1,2023-11-12 07:00:00
"276","gente boa","acessibilidade","O estilo moderno e acolhedor do interior.",4,"Uma noite temática por semana seria interessante.","organização do ambiente","O tempo de espera pela comida diminuiu significativamente.",0,2023-12-27 12:00:00
"277","organização","estacionamento","O estilo moderno e acolhedor do interior.",2,"","as sobremesas são maravilhosas, nunca mudem","A música ambiente mudou e agora está mais agradável.",1,2023-11-16 19:00:00
"278","gente boa","acessibilidade","O estilo moderno e acolhedor do interior.",1,"Espero que o tempo de espera para ser atendido seja menor.","o milkshake, eu viria só por ele","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-11-23 22:00:00
"279","habilidosos","instagramavel","O sorriso e a simpatia dos funcionários.",1,"Seria melhor se o restaurante aceitasse reservas online.","as sobremesas são maravilhosas, nunca mudem","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-02 12:00:00
"280","gente boa","conforto","O sorriso e a simpatia dos funcionários.",4,"Mais variedade de cervejas artesanais.","o milkshake, eu viria só por ele","",1,2023-11-02 18:00:00
"281","gente boa","instagramavel","O estilo moderno e acolhedor do interior.",5,"Uma noite temática por semana seria interessante.","organização do ambiente","",0,2023-11-21 06:00:00
"282","gente boa","temperatura","",5,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","facil acesso","",0,2023-11-06 16:00:00
"283","organização","estacionamento","",3,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","","",1,2023-11-02 02:00:00
"284","gente boa","instagramavel","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"","as sobremesas são maravilhosas, nunca mudem","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-11-24 03:00:00
"285","tem atencao","conforto","",1,"","o milkshake, eu viria só por ele","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-12 19:00:00
"286","organização","temperatura","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Gostaria de ver opções de pratos veganos no menu.","facil acesso","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",1,2023-11-08 19:00:00
"287","organização","estacionamento","",5,"","","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-11-09
"288","gente boa","estacionamento","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-29 11:00:00
"289","habilidosos","estacionamento","A iluminação suave e as cores harmoniosas do espaço.",4,"Seria melhor se o restaurante aceitasse reservas online.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-21 02:00:00
"290","comente","temperatura","",4,"Poderiam melhorar a acústica do local para reduzir o ruído.","","",0,2023-11-15 18:00:00
"291","habilidosos","temperatura","A limpeza e organização do local foram impecáveis.",3,"Seria ótimo ter uma área para crianças brincarem.","facil acesso","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-14 18:00:00
"292","comente","temperatura","A limpeza e organização do local foram impecáveis.",4,"Poderiam melhorar a acústica do local para reduzir o ruído.","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-11-27 15:00:00
"293","habilidosos","acessibilidade","O estilo moderno e acolhedor do interior.",2,"","","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-22 23:00:00
"294","tem atencao","temperatura","O estilo moderno e acolhedor do interior.",5,"Gostaria que o cardápio tivesse mais fotos dos pratos.","lugar arrumado","",0,2023-11-07 22:00:00
"295","comente","instagramavel","A iluminação suave e as cores harmoniosas do espaço.",4,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",1,2023-12-07 21:00:00
"296","comente","acessibilidade","",4,"","","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-11-09 08:00:00
"297","gente boa","acessibilidade","A música ambiente estava perfeita, não muito alta nem muito baixa.",1,"","","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-26 21:00:00
"298","organização","conforto","",5,"Seria ótimo ter uma área para crianças brincarem.","organização do ambiente","O tempo de espera pela comida diminuiu significativamente.",1,2023-12-10 10:00:00
"299","organização","acessibilidade","A música ambiente estava perfeita, não muito alta nem muito baixa.",5,"","lugar arrumado","O tempo de espera pela comida diminuiu significativamente.",0,2023-11-12 03:00:00
"300","comente","conforto","O sorriso e a simpatia dos funcionários.",4,"Seria melhor se o restaurante aceitasse reservas online.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",1,2023-11-27 13:00:00
"301","habilidosos","instagramavel","A limpeza e organização do local foram impecáveis.",4,"Gostaria que o cardápio tivesse mais fotos dos pratos.","","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",1,2023-11-07 11:00:00
"302","gente boa","estacionamento","",4,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-12-20 18:00:00
"303","habilidosos","acessibilidade","",4,"Seria melhor se o restaurante aceitasse reservas online.","lugar arrumado","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-08 19:00:00
"304","habilidosos","estacionamento","",4,"","facil acesso","Notei que o menu foi atualizado com mais opções saudáveis.",1,2023-12-01 10:00:00
"305","organização","conforto","A limpeza e organização do local foram impecáveis.",4,"Gostaria de ver opções de pratos veganos no menu.","lugar arrumado","",0,2023-12-01 04:00:00
"306","habilidosos","conforto","",2,"","banheiros cheirosos","O tempo de espera pela comida diminuiu significativamente.",1,2023-11-26 01:00:00
"307","habilidosos","temperatura","O estilo moderno e acolhedor do interior.",3,"Adoraria ver mais opções de sobremesas sem glúten.","banheiros cheirosos","",0,2023-11-01 12:00:00
"308","organização","estacionamento","A limpeza e organização do local foram impecáveis.",2,"Seria ótimo ter uma área para crianças brincarem.","","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-30 16:00:00
"309","habilidosos","instagramavel","O estilo moderno e acolhedor do interior.",5,"Mais variedade de cervejas artesanais.","","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-16 05:00:00
"310","tem atencao","conforto","",4,"Seria ótimo ter uma área para crianças brincarem.","","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-11-17 15:00:00
"311","comente","temperatura","",2,"Mais variedade de cervejas artesanais.","","",1,2023-11-22 07:00:00
"312","organização","instagramavel","",3,"","o milkshake, eu viria só por ele","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",1,2023-11-26 12:00:00
"313","gente boa","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"","as sobremesas são maravilhosas, nunca mudem","",0,2023-12-01 21:00:00
"314","comente","estacionamento","O sorriso e a simpatia dos funcionários.",3,"Gostaria de ver opções de pratos veganos no menu.","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-11-22 21:00:00
"315","organização","instagramavel","O sorriso e a simpatia dos funcionários.",3,"","organização do ambiente","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-11-24 09:00:00
"316","gente boa","conforto","",2,"","o milkshake, eu viria só por ele","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-11-22 09:00:00
"317","comente","acessibilidade","",2,"Adoraria ver mais opções de sobremesas sem glúten.","facil acesso","Está mais organizado, especialmente a área de espera por mesas.",0,2023-12-28 01:00:00
"318","organização","conforto","O estilo moderno e acolhedor do interior.",3,"Seria melhor se o restaurante aceitasse reservas online.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Está mais organizado, especialmente a área de espera por mesas.",0,2023-11-12 20:00:00
